model_family,run_dir,mode,reference_mode,split,split_manifest,split_manifest_hash,protocol_hash,recon_quant_mode,oracle_classes,oracle_dilate_px,adaptive_bg_levels_override,adaptive_roi_levels_override,frames,bpp_entropy_mean,bpp_eq_mean,true_bpp,ap3d_car_easy,ap3d_car_mod,ap3d_car_hard,ap3d_ped_mod,ap3d_cyc_mod,map3d_mod_mean,map_drop_vs_original,fallback_count,fairness_tag
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260305_resnet_noquant_hires_t1nq_geo_fr_geo_fr_260305_215136_nq,identity,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,206a3f2c7f01,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,nan,nan,nan,81.15597252386462,69.61651822995466,66.48755259360871,42.52217598273223,51.13954046632478,54.42607822633722,0.0,0,reference_identity
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260305_resnet_noquant_hires_t1nq_geo_fr_geo_fr_260305_215136_nq,reconstructed,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,206a3f2c7f01,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,0.0,0.0,0.0,0.15445641022332057,0.04966887417218543,0.05521993581272418,0.3751512635594554,0.02561713159349308,0.1501457564417113,54.27593246989551,0,unmatched
