model_family,run_dir,mode,reference_mode,split,split_manifest,split_manifest_hash,protocol_hash,recon_quant_mode,oracle_classes,oracle_dilate_px,adaptive_bg_levels_override,adaptive_roi_levels_override,frames,bpp_entropy_mean,bpp_eq_mean,true_bpp,ap3d_car_easy,ap3d_car_mod,ap3d_car_hard,ap3d_ped_mod,ap3d_cyc_mod,map3d_mod_mean,map_drop_vs_original,fallback_count,fairness_tag
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260309_resnet_noquant_hires_t1nq_pillar_b_pillar_b_260309_201414_nq,identity,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,d8e1af9b3ea9,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,nan,nan,nan,82.90308452297808,69.88416993208718,66.88146819078432,42.84648363991822,45.4827559885573,52.73780318685423,0.0,0,reference_identity
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260309_resnet_noquant_hires_t1nq_pillar_b_pillar_b_260309_201414_nq,reconstructed,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,d8e1af9b3ea9,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,0.0,0.0,0.0,8.555461971326087,4.329434505337719,3.6269008071229654,2.0682270098537203,0.1790630102639615,2.1922415084851337,50.5455616783691,0,unmatched
