model_family,run_dir,mode,reference_mode,split,split_manifest,split_manifest_hash,protocol_hash,recon_quant_mode,oracle_classes,oracle_dilate_px,adaptive_bg_levels_override,adaptive_roi_levels_override,frames,bpp_entropy_mean,bpp_eq_mean,true_bpp,ap3d_car_easy,ap3d_car_mod,ap3d_car_hard,ap3d_ped_mod,ap3d_cyc_mod,map3d_mod_mean,map_drop_vs_original,fallback_count,fairness_tag
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260304_resnet_noquant_hires_track1nq_a_baseline_260304_230724_nq,identity,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,99aa55e571e3,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,nan,nan,nan,82.73061247924629,69.97814845300057,66.87820366579102,41.451144801326066,43.27084331623469,51.566712190187104,0.0,0,reference_identity
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260304_resnet_noquant_hires_track1nq_a_baseline_260304_230724_nq,reconstructed,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,99aa55e571e3,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000752030482302216,0.00025067682743407197,51.56646151335967,0,unmatched
