model_family,run_dir,mode,reference_mode,split,split_manifest,split_manifest_hash,protocol_hash,recon_quant_mode,oracle_classes,oracle_dilate_px,adaptive_bg_levels_override,adaptive_roi_levels_override,frames,bpp_entropy_mean,bpp_eq_mean,true_bpp,ap3d_car_easy,ap3d_car_mod,ap3d_car_hard,ap3d_ped_mod,ap3d_cyc_mod,map3d_mod_mean,map_drop_vs_original,fallback_count,fairness_tag
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260305_resnet_noquant_hires_t1nq_impl_b_impl_ms_260305_222216_nq,identity,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,f2e0e10080b8,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,nan,nan,nan,80.84277700961631,69.28931625403078,66.13743540947462,42.86625760256338,48.55413084949137,53.56990156869517,0.0,0,reference_identity
No-Quant Autoencoder (ResNet),/home/018219422/lidar_pointcloud_compression/data/results/experiments/260305_resnet_noquant_hires_t1nq_impl_b_impl_ms_260305_222216_nq,reconstructed,identity,val,/fs/atipa/home/018219422/lidar_pointcloud_compression/data/dataset/kitti3dobject/ImageSets/val.txt,dcfcfcfd9330ed8cc6fcd9276e56001d5f7fcf2b,f2e0e10080b8,native,"Car,Pedestrian,Cyclist",0,-1,-1,3769,0.0,0.0,0.0,0.046583850931677016,0.03251083694564855,0.03497668221185876,0.02123379526151095,0.004553734061930784,0.019432788756363426,53.55046877993881,0,unmatched
